"Referência principal";Referência;"Código de barras";Peso;"Preço principal";"Preço promocional";"Começa em";"Termina em";Stock;Variação{{>}}opção;Imagem;Imagem
JTALGRIPGR;;;0.000;67;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALGRIPGR;;;0.000;66;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALGRIPGR;;;0.000;65;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALGRIPGR;;;0.000;74;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALGRIPGR;;;0.000;88;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALGRIPGR;;;0.000;108;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALGRIPCP;;;0.000;108;0;0000-00-00;0000-00-00;0.000;"Tamanho / Furação{{>}}8.0X18"" - 5 Furos";;
JTALGRIPCP;;;0.000;88;0;0000-00-00;0000-00-00;0.000;"Tamanho / Furação{{>}}7.5X17"" - 5 Furos";;
JTALGRIPCP;;;0.000;74;0;0000-00-00;0000-00-00;0.000;"Tamanho / Furação{{>}}7.0X16"" - 4/5 Furos";;
JTALGRIPCP;;;0.000;73;0;0000-00-00;0000-00-00;0.000;"Tamanho / Furação{{>}}6.5X16"" - 5 Furos";;
JTALGRIPCP;;;0.000;67;0;0000-00-00;0000-00-00;0.000;"Tamanho / Furação{{>}}6.0X15"" - 4/5 Furos";;
JTALGRIPCP;;;0.000;66;0;0000-00-00;0000-00-00;0.000;"Tamanho / Furação{{>}}5.5X15"" - 4 Furos";;
JTALGRIPCP;;;0.000;65;0;0000-00-00;0000-00-00;0.000;"Tamanho / Furação{{>}} 5.5X14"" - 4/5 Furos";;
JTALBLZ;;;0.000;67;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALBLZ;;;0.000;71;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALBLZ;;;0.000;78;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALBLZ;;;0.000;80;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALBLZ;;;0.000;92;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALDRVPD;;;0.000;106;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALDRVPD;;;0.000;108;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALDRVPD;;;0.000;132;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALDRVCP;;;0.000;92;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALDRVCP;;;0.000;94;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALDRVCP;;;0.000;115;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10PR;;;0.000;83;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10PR;;;0.000;93;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10PR;;;0.000;95;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10PR;;;0.000;96;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10PR;;;0.000;117;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10PR;;;0.000;128;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10PR;;;0.000;167;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10CP;;;0.000;79;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10CP;;;0.000;87.5;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10CP;;;0.000;89;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10CP;;;0.000;91;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10CP;;;0.000;110;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10CP;;;0.000;120;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10CP;;;0.000;136;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALX10CP;;;0.000;159;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10PR;;;0.000;80;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10PR;;;0.000;84;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10PR;;;0.000;68;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10PR;;;0.000;94;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10PR;;;0.000;97;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10PR;;;0.000;115;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10PR;;;0.000;163;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10CP;;;0.000;75;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10CP;;;0.000;80;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10CP;;;0.000;77;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10CP;;;0.000;88;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10CP;;;0.000;92;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10CP;;;0.000;107;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALM10CP;;;0.000;154;0;0000-00-00;0000-00-00;0.000;{{>}};;
